name,host_id,host_is_superhost,neighbourhood_cleansed,neighbourhood_group_cleansed,latitude,longitude,property_type,room_type,accommodates,bedrooms,price,maximum_nights,availability_365,number_of_reviews,calculated_host_listings_count,reviews_per_month,total_amenities
Superfast Wi-Fi.  Clean & quiet home by the park,2787,f,Kensington,Brooklyn,40.64529,-73.97238,Private room in condo,Private room,2,1.0,285.0,730,347,9,6,0.08,761
Skylit Midtown Manhattan Spacious Studio,2845,f,Midtown,Manhattan,40.75356,-73.98559,Entire rental unit,Entire home/apt,1,0.0,240.0,1125,312,49,3,0.26,553
Spacious Family Friendly Duplex w/ Patio + Yard,7378,f,Sunset Park,Brooklyn,40.66265,-73.99454,Entire townhouse,Entire home/apt,4,2.0,215.0,730,80,4,1,0.03,816
Only 2 stops to Manhattan studio,15991,t,Williamsburg,Brooklyn,40.70935,-73.95342,Entire rental unit,Entire home/apt,3,2.0,97.0,120,219,196,1,1.0,384
UES Beautiful Blue Room,16800,f,East Harlem,Manhattan,40.78778,-73.94759,Private room in rental unit,Private room,1,2.0,63.0,120,254,253,1,1.33,364
"Perfect for Your Parents, With Garden & Patio",17571,t,Fort Greene,Brooklyn,40.69194,-73.97389,Private room in guest suite,Private room,2,1.0,246.0,1125,4,413,2,2.2,1017
Convenient 3BR w/6 beds!!,204539,f,Ridgewood,Queens,40.70271,-73.8993,Entire rental unit,Entire home/apt,9,3.0,223.0,730,365,4,10,0.03,371
SpaHa Studio Monthly Rental,292204,t,East Harlem,Manhattan,40.792667388916016,-73.946533203125,Entire rental unit,Entire home/apt,2,1.0,125.0,60,227,196,4,1.14,661
"Bright, High Ceiling, Spacious & Cozy 1BR - Enjoy!",292630,t,East Village,Manhattan,40.72598,-73.97978,Entire rental unit,Entire home/apt,6,1.0,150.0,1125,362,168,6,0.95,708
Great room in great location,297176,f,Harlem,Manhattan,40.80371,-73.95635,Private room in rental unit,Private room,1,1.0,77.0,480,180,2,2,0.02,303
Sunny Williamsburg Loft with Sauna,21207,t,Williamsburg,Brooklyn,40.71880722045898,-73.9561767578125,Entire place,Entire home/apt,2,0.0,160.0,120,0,13,1,0.07,1156
Large  Loft Style  Studio  Space,757166,f,Bedford-Stuyvesant,Brooklyn,40.68096,-73.94062,Entire loft,Entire home/apt,4,1.0,63.0,1125,301,92,1,0.54,466
Hancock Town House!-Stuyvesant Mews,758441,f,Bedford-Stuyvesant,Brooklyn,40.68511,-73.91927,Private room in home,Private room,2,1.0,162.0,365,365,27,4,0.16,123
Chelsea living Private room,759883,f,Chelsea,Manhattan,40.74389,-74.00068,Private room in rental unit,Private room,1,1.0,173.0,30,364,26,1,0.28,474
Nice Manhattan Apt Near Central Park and Subway,791287,t,Upper West Side,Manhattan,40.79864,-73.96209,Entire rental unit,Entire home/apt,6,2.0,310.0,365,240,190,1,1.12,624
"Brooklyn- sunny, quiet, homelike-Park Slope South",720558,t,Windsor Terrace,Brooklyn,40.65891,-73.98556,Entire guest suite,Entire home/apt,2,1.0,175.0,68,104,124,1,0.74,586
Very close to Downtown Awesome Private Apartment,807642,f,Gravesend,Brooklyn,40.60602,-73.97076,Entire rental unit,Entire home/apt,4,1.0,231.0,30,289,0,2,0.0,209
"Maison des Sirenes1,bohemian, luminous apartment",25183,f,Bedford-Stuyvesant,Brooklyn,40.68455584344908,-73.93963415175676,Entire loft,Entire home/apt,5,1.0,170.0,1125,214,190,2,0.99,958
Midtown Pied-a-terre,30193,f,Hell's Kitchen,Manhattan,40.76724,-73.98664,Entire rental unit,Entire home/apt,2,0.0,175.0,120,97,58,1,0.3,846
Radiant Oasis  B&B Style room,35935,t,Bedford-Stuyvesant,Brooklyn,40.68294,-73.95682,Private room in rental unit,Private room,2,1.0,90.0,730,229,82,6,0.44,704
Beautiful Landmarked Duplex,306739,f,Greenpoint,Brooklyn,40.72967,-73.95352,Entire home,Entire home/apt,4,1.0,350.0,90,83,172,2,0.99,425
LL3,295128,f,Clason Point,Bronx,40.81161,-73.85499,Private room in home,Private room,3,2.0,91.0,1125,0,0,6,0.0,707
Dominique's mini guest suite w/private bath* Metro,310670,t,Eastchester,Bronx,40.881,-73.83511,Private room in home,Private room,2,1.0,120.0,120,358,57,8,0.39,859
cozy bedroom in lovely garden apt,314256,f,Crown Heights,Brooklyn,40.67634,-73.95143,Private room in rental unit,Private room,2,1.0,71.0,182,110,46,1,0.26,94
Crown Heights Garden Apt.,314582,t,Crown Heights,Brooklyn,40.67579,-73.95072,Private room in home,Private room,2,1.0,65.0,365,305,257,2,1.49,179
CHARMING CARROLL GARDENS APT.,322884,f,Carroll Gardens,Brooklyn,40.68028,-73.99328,Entire rental unit,Entire home/apt,4,2.0,171.0,90,244,67,1,0.41,437
East Village Loft with Piano & Patio,324460,f,East Village,Manhattan,40.72547,-73.98619,Entire loft,Entire home/apt,2,0.0,349.0,90,143,171,1,1.38,916
ENJOY Downtown NYC!,46978,t,East Village,Manhattan,40.72296,-73.98383,Private room in rental unit,Private room,2,1.0,72.0,1125,76,317,2,1.66,459
"1 Stop to Midtown! Private Bedroom, Landmark House",50124,f,Long Island City,Queens,40.74757,-73.94571,Private room in townhouse,Private room,3,1.0,225.0,14,183,445,1,2.43,677
"Fort Greene, Brooklyn: Front Bedroom",67778,t,Fort Greene,Brooklyn,40.68877615321917,-73.97762359693657,Private room in rental unit,Private room,2,1.0,105.0,28,282,292,2,2.16,931
Luxury 2Bed/2.5Bath Central Park View,836168,f,Upper West Side,Manhattan,40.7751,-73.98595,Entire condo,Entire home/apt,9,2.0,2500.0,1125,364,25,10,0.15,494
Cosy Sunny 1brm in Prospect Heights,842125,f,Crown Heights,Brooklyn,40.67545,-73.96096,Entire rental unit,Entire home/apt,1,1.0,101.0,30,113,31,1,0.18,234
Spacious Private Jr. One Bedroom Near NYU Hospital,849492,f,Kips Bay,Manhattan,40.74045,-73.9749,Entire condo,Entire home/apt,2,1.0,150.0,1125,167,130,1,0.78,576
High-end doorman bldg in the LES,21475,f,East Village,Manhattan,40.72113,-73.98213,Private room in condo,Private room,1,1.0,175.0,180,83,128,1,0.76,399
Cozy entire studio Apartment,39260,t,East Harlem,Manhattan,40.78959,-73.94705,Entire condo,Entire home/apt,3,1.0,143.0,1125,325,127,1,0.76,321
Charming Brownstone 3 - Near PRATT,50148,f,Bedford-Stuyvesant,Brooklyn,40.67946,-73.95417,Entire rental unit,Entire home/apt,2,1.0,153.0,365,311,81,1,0.43,306
Greenpoint Place...Has It All!,56246,f,Greenpoint,Brooklyn,40.73535,-73.95584,Entire rental unit,Entire home/apt,2,1.0,115.0,1125,213,179,1,0.95,932
"Lovely, Modern, Garden Apartment",329436,t,Gowanus,Brooklyn,40.68088,-73.99102,Entire rental unit,Entire home/apt,2,1.0,209.0,270,274,248,2,1.56,959
Cozy Garden Apartment  in Williamsburg,330347,t,Williamsburg,Brooklyn,40.71516,-73.96448,Entire townhouse,Entire home/apt,4,1.0,207.0,89,46,87,1,0.5,716
Prewar Penthouse w Private Terrace,342054,f,Upper West Side,Manhattan,40.78846,-73.97459,Entire rental unit,Entire home/apt,2,1.0,189.0,200,195,38,1,0.23,577
Top floor light filled loft on the Bowery,281229,f,Nolita,Manhattan,40.72,-73.99487,Entire loft,Entire home/apt,7,3.0,657.0,730,131,248,1,1.43,1278
"Nice renovated apt, prime location!",352168,t,Upper West Side,Manhattan,40.77845,-73.98295,Entire rental unit,Entire home/apt,2,1.0,128.0,120,236,70,1,0.44,438
One Bedroom Mini studio - Free WIFI,265109,f,Astoria,Queens,40.77507,-73.93367,Private room in rental unit,Private room,3,1.0,118.0,1125,365,268,1,1.57,884
* Lovely Nolita 1Bdrm w Elevator and 24hr Doorman*,60049,t,Lower East Side,Manhattan,40.721359,-73.993668,Entire condo,Entire home/apt,3,1.0,230.0,180,255,41,1,0.29,1243
"Very, very cozy place",60252,f,Williamsburg,Brooklyn,40.71211,-73.96397,Private room in rental unit,Private room,1,1.0,98.0,40,203,62,1,0.34,227
"Sunny, Modern room in East Village w City Views",64442,t,East Village,Manhattan,40.72372723229208,-73.97625850509617,Private room in condo,Private room,1,1.0,198.0,40,208,642,2,4.46,619
Charming Room in Amazing East Village Apt. (B),4396,t,East Village,Manhattan,40.72281,-73.98501,Private room in rental unit,Private room,1,1.0,169.0,31,18,263,2,1.68,739
Bright Cozy Chinatown Studio Apt.,401696,f,Chinatown,Manhattan,40.71624,-73.994,Entire rental unit,Entire home/apt,2,0.0,120.0,1125,288,423,1,2.43,914
Modern Bed Stuy loft + rooftop garden,401921,f,Bedford-Stuyvesant,Brooklyn,40.695588790857855,-73.95461923691613,Private room in loft,Private room,2,1.0,221.0,150,364,20,1,0.11,1273
Superior @ Box House,417504,f,Greenpoint,Brooklyn,40.73777,-73.95366,Room in boutique hotel,Hotel room,2,1.0,238.0,365,164,70,29,0.4,410
3 Bdr/2ba Brownstone w/Garden. Stunning!,425506,f,Clinton Hill,Brooklyn,40.68337,-73.96253,Entire townhouse,Entire home/apt,5,3.0,355.0,59,65,11,1,0.09,1079
Cozy room in East Village with AC,434987,f,East Village,Manhattan,40.7226132,-73.9854593,Private room in rental unit,Private room,2,1.0,63.0,30,265,233,1,1.35,741
Duplex w/ Terrace @ Box House Hotel,417504,f,Greenpoint,Brooklyn,40.73756,-73.9535,Room in boutique hotel,Hotel room,4,1.0,380.0,365,167,10,29,0.06,419
Loft w/ Terrace @ Box House Hotel,417504,f,Greenpoint,Brooklyn,40.73777,-73.95366,Room in boutique hotel,Private room,4,1.0,428.0,365,164,10,29,0.06,436
Loft w/ Terrace @ Box House Hotel,417504,f,Greenpoint,Brooklyn,40.73777,-73.95366,Room in boutique hotel,Private room,4,1.0,428.0,365,167,2,29,0.01,436
"Charming Artist's Flat, East Village",449787,t,East Village,Manhattan,40.72408,-73.98154,Entire rental unit,Entire home/apt,2,1.0,151.0,180,316,286,1,1.66,721
Hell's Kitchen Funky 80s Hideaway!,179020,t,Hell's Kitchen,Manhattan,40.76263,-73.99401,Private room in rental unit,Private room,2,1.0,179.0,30,78,184,1,1.14,831
Beautiful Grdn. Apt. in Park Slope,874471,f,Park Slope,Brooklyn,40.66836,-73.98166,Entire rental unit,Entire home/apt,2,1.0,130.0,31,346,313,1,1.94,596
Presence Guest Room - Chelsea NYC,927028,t,Chelsea,Manhattan,40.74697296939259,-74.00178397023312,Private room in townhouse,Private room,2,1.0,129.0,90,239,158,1,0.96,766
SpaHa Loft: Enormous and Bright,65837,f,East Harlem,Manhattan,40.8019,-73.93762,Entire loft,Entire home/apt,8,4.0,300.0,365,164,291,1,1.55,402
Lovely EV Artist's Home,66035,f,East Village,Manhattan,40.72289,-73.98028,Entire rental unit,Entire home/apt,2,1.0,260.0,90,98,54,1,0.29,408
Manhattan Room,69942,f,Upper East Side,Manhattan,40.76967,-73.94831,Private room in rental unit,Private room,2,2.0,70.0,30,318,147,1,0.88,101
Beautiful Meatpacking District Loft,71876,t,Chelsea,Manhattan,40.74261,-74.00353,Private room in loft,Private room,3,1.0,150.0,60,277,250,1,1.44,755
One bedroom Duplex Private Terrace West Village,73164,f,West Village,Manhattan,40.73917,-74.00207,Entire rental unit,Entire home/apt,4,1.0,256.0,3000,276,68,1,0.37,486
"Cheerful, comfortable room",940724,f,Washington Heights,Manhattan,40.83338,-73.94326,Private room in rental unit,Private room,2,1.0,86.0,365,365,229,1,1.36,373
Covid Clean since '11!,949221,f,Flatbush,Brooklyn,40.65468,-73.95721,Private room in rental unit,Private room,1,1.0,60.0,120,88,90,1,0.57,814
"Sunny, Large, Park Slope Bedroom",611716,f,Park Slope,Brooklyn,40.6767158,-73.9818207,Private room in rental unit,Private room,2,1.0,105.0,29,167,230,1,1.37,535
Solo Travelers Private Garden XL Studio,241559,t,Crown Heights,Brooklyn,40.67635,-73.96108,Entire townhouse,Entire home/apt,2,0.0,125.0,300,320,133,2,0.8,1134
Serene Park Slope Garden Apartment,988350,f,Park Slope,Brooklyn,40.67466,-73.97853,Entire rental unit,Entire home/apt,4,1.0,190.0,30,77,106,1,0.77,638
BEAUTIFUL 2 BEDROOM APARTMENT,451545,f,Bedford-Stuyvesant,Brooklyn,40.68433,-73.94469,Entire townhouse,Entire home/apt,5,2.0,174.0,1125,327,83,1,0.72,446
Brooklyn Cove 1 Br Apt w/ Garden In Bushwick!!,453519,f,Bushwick,Brooklyn,40.68769,-73.91788,Entire rental unit,Entire home/apt,3,1.0,56.0,60,278,251,1,1.45,380
NY Mag & Budget Travel love us!,260682,f,Downtown Brooklyn,Brooklyn,40.69132,-73.98573,Private room in bed and breakfast,Private room,1,1.0,166.0,31,335,5,1,0.03,76
